OBJECTID,date,validOn,validTo,Shape__Area,Shape__Length,ADM2_EN,ADM2_AR,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM2ALT1_AR,ADM2ALT2_AR,ADM1_EN,ADM1_AR,ADM1_PCODE,ADM0_EN,ADM0_AR,ADM0_PCODE,AREA_SQKM
18,2020-04-30,2020-12-03,,0.18075159004667013,2.3896865148165447,Prefecture d Oujda Angad, ,MA007001,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,1837.73132324
19,2020-04-30,2020-12-03,,0.030390169534540008,0.9980888000481755,Prefecture de Fes, ,MA004001,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,311.46383667
20,2020-04-30,2020-12-03,,0.023135692144390006,1.1734710502280121,Prefecture de M diq Fnideq, ,MA010005,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,232.20401001
21,2020-04-30,2020-12-03,,0.24888675708853011,3.0689056454144885,Prefecture de Marrakech, ,MA006004,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2615.40649414
22,2020-04-30,2020-12-03,,0.17434892567115018,2.926842781552568,Prefecture de Meknes, ,MA004002,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,1786.60644531
23,2020-04-30,2020-12-03,,0.1056760036347353,1.7433877842977072,Prefecture de Skhirate Temara, ,MA008001,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,1085.9453125
24,2020-04-30,2020-12-03,,0.02087589618565685,0.9517067199630718,Prefecture of Casablanca, ,MA002005,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,214.99113464
25,2020-04-30,2020-12-03,,0.027128536563060007,0.9799650534263229,Prefecture of Mohammedia, ,MA002006,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,279.21054077
26,2020-04-30,2020-12-03,,0.011037578991302114,0.5091313072697324,Prefecture of Rabat, ,MA008002,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,113.15081024
27,2020-04-30,2020-12-03,,0.06969078756960653,1.654393259998115,Prefecture of Sale, ,MA008003,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,714.30450439
28,2020-04-30,2020-12-03,,0.10190650113659475,1.927231006715645,Prefecture of Tangier Assilah, ,MA010006,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,1024.9864502
29,2020-04-30,2020-12-03,,0.9139294319584589,5.428172178951608,Province d Azilal, ,MA001001,,,,,,Beni Mellal Khenifra,بني ملال - خنيفرة,MA001,Morocco,المغرب,MA,9589.43164063
30,2020-04-30,2020-12-03,,0.20752965938108509,3.2356295597069327,Province d El Hajeb, ,MA004003,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,2134.14575195
31,2020-04-30,2020-12-03,,0.39242492312953486,3.2898668458877536,Province d El Kelaat Es Sraghna, ,MA006005,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,4109.03076172
32,2020-04-30,2020-12-03,,2.5553071272877736,11.523167846976788,Province d Errachidia, ,MA003002,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,26959.31445313
33,2020-04-30,2020-12-03,,0.36551727093219005,3.816403804363195,Province d Ifrane, ,MA004004,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,3774.04345703
34,2020-04-30,2020-12-03,,0.2108728901149301,2.440048503884997,Province d Ouezzane, ,MA010007,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,2140.8203125
35,2020-04-30,2020-12-03,,0.4289052665731197,4.44592745618324,Province de Beni Mellal, ,MA001002,,,,,,Beni Mellal Khenifra,بني ملال - خنيفرة,MA001,Morocco,المغرب,MA,4471.67724609
36,2020-04-30,2020-12-03,,0.24283589749620102,2.702125332204795,Province de Benslimane, ,MA002007,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,2503.31738281
37,2020-04-30,2020-12-03,,0.17777086388057992,2.819765041218067,Province de Berkane, ,MA007002,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,1803.52697754
38,2020-04-30,2020-12-03,,1.3765187297986592,6.658794086790463,Province de Boulemane, ,MA004005,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,14224.20898438
39,2020-04-30,2020-12-03,,0.2961005558050305,2.8632182054822257,Province de Driouch, ,MA007003,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,3000.17773438
40,2020-04-30,2020-12-03,,3.3364628189722327,10.430277669119073,Province de Figuig, ,MA007004,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,34677.42578125
41,2020-04-30,2020-12-03,,0.23622181284437505,2.573816541460499,Province de Fquih Ben Saleh, ,MA001003,,,,,,Beni Mellal Khenifra,بني ملال - خنيفرة,MA001,Morocco,المغرب,MA,2464.04785156
42,2020-04-30,2020-12-03,,0.702192927741695,5.685364973664876,Province de Guercif, ,MA007005,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,7181.1171875
43,2020-04-30,2020-12-03,,0.6771229378536197,4.076098834572803,Province de Jerada, ,MA007006,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,6935.39355469
44,2020-04-30,2020-12-03,,0.3321887534248728,4.226221165210657,Province de Kenitra, ,MA008004,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,3380.85961914
45,2020-04-30,2020-12-03,,0.7511119787227313,5.1741772763707425,Province de Khemisset, ,MA008005,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,7725.27148438
46,2020-04-30,2020-12-03,,0.6480325575985451,4.7976824093675985,Province de Khenifra, ,MA001004,,,,,,Beni Mellal Khenifra,بني ملال - خنيفرة,MA001,Morocco,المغرب,MA,6716.06005859
47,2020-04-30,2020-12-03,,0.4254614770402848,3.278419771803128,Province de Khouribga, ,MA001005,,,,,,Beni Mellal Khenifra,بني ملال - خنيفرة,MA001,Morocco,المغرب,MA,4413.95605469
48,2020-04-30,2020-12-03,,1.2198791856545657,6.6093828672324,Province de Midelt, ,MA003003,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,12721.17285156
49,2020-04-30,2020-12-03,,0.1448011359010502,3.093850842623451,Province de Moulay Yacoub, ,MA004006,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,1481.43737793
50,2020-04-30,2020-12-03,,0.3087789580886302,4.542948655040916,Province de Nador, ,MA007007,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,3127.57910156
51,2020-04-30,2020-12-03,,0.39172431208997033,3.7944098530349697,Province de Safi, ,MA006006,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,4093.43823242
52,2020-04-30,2020-12-03,,0.33678080294319995,3.599337923095592,Province de Sefrou, ,MA004007,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,3460.38720703
53,2020-04-30,2020-12-03,,0.314525046413709,3.3340575443036964,Province de Sidi Bennour, ,MA002008,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,3273.68457031
54,2020-04-30,2020-12-03,,0.30779786460267017,5.172927826653785,Province de Sidi Kacem, ,MA008006,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,3136.86767578
55,2020-04-30,2020-12-03,,0.14586259153481496,2.7837583588713444,Province de Sidi Slimane, ,MA008007,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,1489.89294434
56,2020-04-30,2020-12-03,,0.8740741681962179,4.193111944191073,Province de Tan Tan, ,MA005003,,,,,,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,9517.46777344
57,2020-04-30,2020-12-03,,0.5487646393609896,5.431180852800848,Province de Taounate, ,MA004008,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,5592.61474609
58,2020-04-30,2020-12-03,,0.7367594944412501,4.927249856753273,Province de Taourirt, ,MA007008,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,7536.49023438
59,2020-04-30,2020-12-03,,0.5968909030412706,5.020320418885072,Province de Taza, ,MA004009,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,6095.09375
60,2020-04-30,2020-12-03,,1.271790305202931,8.229403767820953,Province de Tinghir, ,MA003004,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,13420.99316406
61,2020-04-30,2020-12-03,,0.28169245861570036,2.785439502343054,Province de Youssoufia, ,MA006007,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2951.68041992
62,2020-04-30,2020-12-03,,0.525984684595059,4.24432034596721,Rhamna Province, ,MA006008,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,5499.43408203
63,2020-04-30,2020-12-03,,0.662166057162721,5.003164740971171,Settat Province, ,MA002009,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,6876.92675781
64,2020-04-30,2020-12-03,,0.28475314032969007,4.261446931870569,Sidi Ifni Province, ,MA005004,,,,,,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,3065.97045898
65,2020-04-30,2020-12-03,,1.4881179631106516,7.331482531838782,Taroudant Province, ,MA009004,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,15844.20996094
66,2020-04-30,2020-12-03,,2.468410921474163,10.34048139603537,Tata Province, ,MA009005,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,26512.24414063
67,2020-04-30,2020-12-03,,0.19025031798607497,2.586376438261812,Tetouan Province, ,MA010008,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,1916.14025879
68,2020-04-30,2020-12-03,,0.4748864511889984,4.964595932917285,Tiznit Province, ,MA009006,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,5097.86230469
69,2020-04-30,2020-12-03,,1.96988689827696,7.053954300818677,Zagora Province, ,MA003005,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,20998.02148438
